Source_Path,Destination_Path,Academic_Year,Term_or_Type,Doc_Nature,Subject,Level,Is_Scanned,OCR_Applied,Confidence_Score
C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\bem\amazigh\305.pdf,C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\bem\amazigh\Devoirs\Year_Unknown_Devoirs_Arabe_4AM_BEM_305.pdf,Year_Unknown,Devoirs,Sujet,Arabe,4AM_BEM,False,False,60
C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\bem\arabe\110.pdf,C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\bem\arabe\2017-2018\BAC_Officiel\2017-2018_BAC_Officiel_Arabe_3AS_BAC_110.pdf,2017-2018,BAC_Officiel,Sujet,Arabe,3AS_BAC,False,False,100
C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\bem\arabe\12.pdf,C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\bem\arabe\Examen\Year_Unknown_Examen_Philosophie_4AM_BEM_12.pdf,Year_Unknown,Examen,Sujet,Philosophie,4AM_BEM,False,False,60
C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\bem\arabe\122.pdf,C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\bem\arabe\2023\Devoirs\2023_Devoirs_Arabe_4AM_BEM_122.pdf,2023,Devoirs,Sujet,Arabe,4AM_BEM,False,False,100
C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\bem\arabe\131.pdf,C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\bem\arabe\2020-2021\Devoirs\2020-2021_Devoirs_Arabe_4AM_BEM_131.pdf,2020-2021,Devoirs,Sujet,Arabe,4AM_BEM,False,False,100
C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\bem\arabe\140.pdf,C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\bem\arabe\Devoirs\Year_Unknown_Devoirs_Arabe_4AM_BEM_140.pdf,Year_Unknown,Devoirs,Sujet,Arabe,4AM_BEM,False,False,60
C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\bem\arabe\2.pdf,C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\bem\arabe\Unclassified\Year_Unknown_Term_Unknown_Philosophie_4AM_BEM_2.pdf,Year_Unknown,Term_Unknown,Sujet,Philosophie,4AM_BEM,False,False,25
C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\bem\arabe\296.pdf,C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\bem\arabe\Devoirs\Year_Unknown_Devoirs_Mathematiques_4AM_BEM_296.pdf,Year_Unknown,Devoirs,Sujet,Mathematiques,4AM_BEM,False,False,60
C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\bem\arabe\43.pdf,C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\bem\arabe\2020\Examen\2020_Examen_Arabe_3AS_BAC_43.pdf,2020,Examen,Sujet,Arabe,3AS_BAC,False,False,100
C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\bem\arabe\32.pdf,C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\bem\arabe\Examen\Year_Unknown_Examen_Arabe_4AM_BEM_32.pdf,Year_Unknown,Examen,Sujet,Arabe,4AM_BEM,False,False,60
C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\bem\arabe\54.pdf,C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\bem\arabe\Unclassified\Year_Unknown_Term_Unknown_Arabe_4AM_BEM_54.pdf,Year_Unknown,Term_Unknown,Sujet,Arabe,4AM_BEM,False,False,25
C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\bem\arabe\65.pdf,C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\bem\arabe\2020\BAC_Blanc\2020_BAC_Blanc_Arabe_3AS_BAC_65.pdf,2020,BAC_Blanc,Sujet,Arabe,3AS_BAC,False,False,100
C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\bem\arabe\76.pdf,C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\bem\arabe\Trimestre_2\Year_Unknown_Trimestre_2_Arabe_4AM_BEM_76.pdf,Year_Unknown,Trimestre_2,Sujet,Arabe,4AM_BEM,False,False,60
C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\bem\civile\301.pdf,C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\bem\civile\2024\Devoir_T2\2024_Devoir_T2_Arabe_3AS_BAC_301.pdf,2024,Devoir_T2,Sujet,Arabe,3AS_BAC,False,False,100
C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\bem\civile\5.pdf,C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\bem\civile\Examen\Year_Unknown_Examen_4AM_BEM_5.pdf,Year_Unknown,Examen,Sujet,Subject_Unknown,4AM_BEM,False,False,45
C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\bem\civile\136.pdf,C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\bem\civile\Devoirs\Year_Unknown_Devoirs_Corrige_Arabe_4AM_BEM_136.pdf,Year_Unknown,Devoirs,Corrige,Arabe,4AM_BEM,False,False,60
C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\bem\civile\111.pdf,C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\bem\civile\Cours_Resumes\2016\Cours_Resumes_2016_Histoire_Geo_4AM_BEM_111.pdf,2016,Cours_Resumes,Sujet,Histoire_Geo,4AM_BEM,False,False,100
C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\bem\civile\145.pdf,C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\bem\civile\Devoir_T2\Year_Unknown_Devoir_T2_Arabe_4AM_BEM_145.pdf,Year_Unknown,Devoir_T2,Sujet,Arabe,4AM_BEM,False,False,60
C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\bem\civile\126.pdf,C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\bem\civile\2018\Devoirs\2018_Devoirs_Histoire_Geo_3AS_BAC_126.pdf,2018,Devoirs,Sujet,Histoire_Geo,3AS_BAC,False,False,100
C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\bem\civile\75.pdf,C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\bem\civile\Cours_Resumes\2024\Cours_Resumes_2024_Arabe_4AM_BEM_75.pdf,2024,Cours_Resumes,Sujet,Arabe,4AM_BEM,False,False,100
C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\bem\civile\83.pdf,C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\bem\civile\2019-2020\Examen\2019-2020_Examen_Arabe_3AS_BAC_83.pdf,2019-2020,Examen,Sujet,Arabe,3AS_BAC,False,False,100
C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\bem\civile\74.pdf,C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\bem\civile\Trimestre_2\Year_Unknown_Trimestre_2_4AM_BEM_74.pdf,Year_Unknown,Trimestre_2,Sujet,Subject_Unknown,4AM_BEM,False,False,45
C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\bem\civile\84.pdf,C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\bem\civile\2015\Trimestre_3\2015_Trimestre_3_Arabe_3AS_BAC_84.pdf,2015,Trimestre_3,Sujet,Arabe,3AS_BAC,False,False,100
C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\bem\civile\81.pdf,C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\bem\civile\2020\BAC_Officiel\2020_BAC_Officiel_Arabe_3AS_BAC_81.pdf,2020,BAC_Officiel,Sujet,Arabe,3AS_BAC,False,False,100
C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\bem\civile\79.pdf,C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\bem\civile\Trimestre_2\Year_Unknown_Trimestre_2_Arabe_4AM_BEM_79.pdf,Year_Unknown,Trimestre_2,Sujet,Arabe,4AM_BEM,False,False,60
C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\bem\civile\82.pdf,C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\bem\civile\2017-2018\Devoir__3\2017-2018_Devoir_3_Arabe_3AS_BAC_82.pdf,2017-2018,Devoir__3,Sujet,Arabe,3AS_BAC,False,False,100
C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\bem\eng\129.pdf,C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\bem\eng\Devoirs\Year_Unknown_Devoirs_Arabe_4AM_BEM_129.pdf,Year_Unknown,Devoirs,Sujet,Arabe,4AM_BEM,False,False,60
C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\bem\eng\11.pdf,C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\bem\eng\Examen\Year_Unknown_Examen_4AM_BEM_11.pdf,Year_Unknown,Examen,Sujet,Subject_Unknown,4AM_BEM,False,False,45
C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\bem\civile\77.pdf,C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\bem\civile\Trimestre_2\Year_Unknown_Trimestre_2_Philosophie_4AM_BEM_77.pdf,Year_Unknown,Trimestre_2,Sujet,Philosophie,4AM_BEM,False,False,60
C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\bem\civile\80.pdf,C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\bem\civile\Unclassified\Year_Unknown_Term_Unknown_Philosophie_4AM_BEM_80.pdf,Year_Unknown,Term_Unknown,Sujet,Philosophie,4AM_BEM,False,False,25
